"Frame Transformation Calculation"
"Calculation Inputs"
"Calculation type","Frame Transformation (from Frame 1 to Frame 2)"
"Frame 1","MOON_ME_DE421"
"Frame 2","J2000"
"Time system","UTC"
"Time format","Calendar date and time"
"Time range","2024-12-14T20:08:10.000 to 2024-12-14T20:14:10.000"
"Time sampling","1 seconds in TDT (a.k.a. TT)"
"Light propagation","No correction"
"Orientation form","Euler angles"
"Rotation order","R = [Angle3]z * [Angle2]x * [Angle1]z"
"Angular units","Degrees"
"Angular velocity form","Not included"
"Frame Transformation Results"
"UTC calendar date","Angle 3 (deg)","Angle 2 (deg)","Angle 1 (deg)"
"2024-12-14 20:11:55.000000 UTC",-179.89457283,21.90335112,-72.24543434
"2024-12-14 20:11:56.000000 UTC",-179.89457294,21.90335107,-72.24558674
"2024-12-14 20:11:57.000000 UTC",-179.89457305,21.90335102,-72.24573914
"2024-12-14 20:11:58.000000 UTC",-179.89457316,21.90335097,-72.24589153
"2024-12-14 20:11:59.000000 UTC",-179.89457327,21.90335092,-72.24604393
"2024-12-14 20:12:00.000000 UTC",-179.89457338,21.90335087,-72.24619633
"2024-12-14 20:12:01.000000 UTC",-179.89457349,21.90335082,-72.24634873
"2024-12-14 20:12:02.000000 UTC",-179.89457361,21.90335077,-72.24650112
"2024-12-14 20:12:03.000000 UTC",-179.89457372,21.90335072,-72.24665352
"2024-12-14 20:12:04.000000 UTC",-179.89457383,21.90335067,-72.24680592
"2024-12-14 20:12:05.000000 UTC",-179.89457394,21.90335061,-72.24695832
"2024-12-14 20:12:06.000000 UTC",-179.89457405,21.90335056,-72.24711071
"2024-12-14 20:12:07.000000 UTC",-179.89457416,21.90335051,-72.24726311
"2024-12-14 20:12:08.000000 UTC",-179.89457427,21.90335046,-72.24741551
"2024-12-14 20:12:09.000000 UTC",-179.89457438,21.90335041,-72.24756791
"2024-12-14 20:12:10.000000 UTC",-179.89457449,21.90335036,-72.24772030
"2024-12-14 20:12:11.000000 UTC",-179.89457460,21.90335031,-72.24787270
"2024-12-14 20:12:12.000000 UTC",-179.89457471,21.90335026,-72.24802510
"2024-12-14 20:12:13.000000 UTC",-179.89457482,21.90335021,-72.24817750
"2024-12-14 20:12:14.000000 UTC",-179.89457493,21.90335016,-72.24832990
"2024-12-14 20:12:15.000000 UTC",-179.89457504,21.90335011,-72.24848229
"2024-12-14 20:12:16.000000 UTC",-179.89457515,21.90335005,-72.24863469
"2024-12-14 20:12:17.000000 UTC",-179.89457526,21.90335000,-72.24878709
"2024-12-14 20:12:18.000000 UTC",-179.89457537,21.90334995,-72.24893949
"2024-12-14 20:12:19.000000 UTC",-179.89457548,21.90334990,-72.24909188
"2024-12-14 20:12:20.000000 UTC",-179.89457559,21.90334985,-72.24924428
"2024-12-14 20:12:21.000000 UTC",-179.89457570,21.90334980,-72.24939668
"2024-12-14 20:12:22.000000 UTC",-179.89457581,21.90334975,-72.24954908
"2024-12-14 20:12:23.000000 UTC",-179.89457592,21.90334970,-72.24970147
"2024-12-14 20:12:24.000000 UTC",-179.89457603,21.90334965,-72.24985387
"2024-12-14 20:12:25.000000 UTC",-179.89457614,21.90334960,-72.25000627
"2024-12-14 20:12:26.000000 UTC",-179.89457625,21.90334954,-72.25015867
"2024-12-14 20:12:27.000000 UTC",-179.89457636,21.90334949,-72.25031106
"2024-12-14 20:12:28.000000 UTC",-179.89457647,21.90334944,-72.25046346
"2024-12-14 20:12:29.000000 UTC",-179.89457658,21.90334939,-72.25061586
"2024-12-14 20:12:30.000000 UTC",-179.89457669,21.90334934,-72.25076826
"2024-12-14 20:12:31.000000 UTC",-179.89457681,21.90334929,-72.25092065
"2024-12-14 20:12:32.000000 UTC",-179.89457692,21.90334924,-72.25107305
"2024-12-14 20:12:33.000000 UTC",-179.89457703,21.90334919,-72.25122545
"2024-12-14 20:12:34.000000 UTC",-179.89457714,21.90334914,-72.25137785
"2024-12-14 20:12:35.000000 UTC",-179.89457725,21.90334909,-72.25153025
"2024-12-14 20:12:36.000000 UTC",-179.89457736,21.90334903,-72.25168264
"2024-12-14 20:12:37.000000 UTC",-179.89457747,21.90334898,-72.25183504
"2024-12-14 20:12:38.000000 UTC",-179.89457758,21.90334893,-72.25198744
"2024-12-14 20:12:39.000000 UTC",-179.89457769,21.90334888,-72.25213984
"2024-12-14 20:12:40.000000 UTC",-179.89457780,21.90334883,-72.25229223
"2024-12-14 20:12:41.000000 UTC",-179.89457791,21.90334878,-72.25244463
"2024-12-14 20:12:42.000000 UTC",-179.89457802,21.90334873,-72.25259703
"2024-12-14 20:12:43.000000 UTC",-179.89457813,21.90334868,-72.25274943
"2024-12-14 20:12:44.000000 UTC",-179.89457824,21.90334863,-72.25290182
"2024-12-14 20:12:45.000000 UTC",-179.89457835,21.90334858,-72.25305422
"2024-12-14 20:12:46.000000 UTC",-179.89457846,21.90334852,-72.25320662
"2024-12-14 20:12:47.000000 UTC",-179.89457857,21.90334847,-72.25335902
"2024-12-14 20:12:48.000000 UTC",-179.89457868,21.90334842,-72.25351141
"2024-12-14 20:12:49.000000 UTC",-179.89457879,21.90334837,-72.25366381
"2024-12-14 20:12:50.000000 UTC",-179.89457890,21.90334832,-72.25381621
"2024-12-14 20:12:51.000000 UTC",-179.89457901,21.90334827,-72.25396861
"2024-12-14 20:12:52.000000 UTC",-179.89457912,21.90334822,-72.25412101
"2024-12-14 20:12:53.000000 UTC",-179.89457923,21.90334817,-72.25427340
"2024-12-14 20:12:54.000000 UTC",-179.89457934,21.90334812,-72.25442580
"2024-12-14 20:12:55.000000 UTC",-179.89457945,21.90334807,-72.25457820
"2024-12-14 20:12:56.000000 UTC",-179.89457956,21.90334801,-72.25473060
"2024-12-14 20:12:57.000000 UTC",-179.89457967,21.90334796,-72.25488299
"2024-12-14 20:12:58.000000 UTC",-179.89457978,21.90334791,-72.25503539
"2024-12-14 20:12:59.000000 UTC",-179.89457989,21.90334786,-72.25518779
"2024-12-14 20:13:00.000000 UTC",-179.89458000,21.90334781,-72.25534019
"2024-12-14 20:13:01.000000 UTC",-179.89458012,21.90334776,-72.25549258
"2024-12-14 20:13:02.000000 UTC",-179.89458023,21.90334771,-72.25564498
"2024-12-14 20:13:03.000000 UTC",-179.89458034,21.90334766,-72.25579738
